crop,tissue,prep,region_group,voxel_nm,n_cells_considered,n_cells_included,total_ecs_surface_nm2,curvature_abs_median_per_nm,curvature_abs_p25_per_nm,curvature_abs_p75_per_nm,curvature_signed_median_per_nm,curvature_signed_p10_per_nm,curvature_signed_p90_per_nm,curvature_std_per_nm,curvature_iqr_per_nm,fraction_convex,fraction_concave,fraction_flat,roughness_rms_nm_p30,roughness_rms_nm_p60,roughness_rms_nm_p120,protrusion_density_per_um2,indentation_density_per_um2,protrusion_count,indentation_count,native_voxel_nm,analysis_voxel_nm
crop1033,Cortex,Chemical,,16.0,22,18,8330323.710107649,0.0058114082965391965,0.00263818451140515,0.010357750205415536,0.0046275066843437145,-0.004135062472343048,0.0159743465948642,0.009057904083587883,0.007719565694010386,0.6443770745281329,0.1631826962628824,0.1924402292089848,1.8441611004744187,5.630754456294468,16.9664536341532,23.648540783711542,2.881040501568919,197,24,2.0,16.0
crop1147,Heart,Chemical,Intercalated disc,8.0,3,3,12378508.196983542,0.0023031445786841263,0.0010246163325624866,0.004526890793737026,0.00040236906006266087,-0.00451540269068592,0.0061758617728338355,0.00703231460954864,0.0035022744611745396,0.3174888834883657,0.23393714986700606,0.44857396664462795,1.0296762473047083,3.225853177350369,9.246250623259732,10.582858444277052,4.927895916800765,131,61,8.0,8.0
crop1145,Heart,Chemical,Cardiac interstitial,8.0,3,3,12071788.839198925,0.0026989449516580527,0.0011443960529913576,0.007120041633945189,0.0006009322504012902,-0.012560613655076039,0.008543326759173821,0.012476111056745632,0.005975645580953831,0.3520388939313675,0.24344557405441522,0.40451553201421736,1.895668247706767,5.091615750509808,10.954480598404723,12.508502427550766,9.360667379557858,151,113,8.0,8.0
crop1146,Heart,Chemical,Cardiac interstitial,8.0,5,5,19254884.072786074,0.002761035547540915,0.0011866258031975458,0.0063899727156867285,0.0008993028087794587,-0.0070344845107769925,0.008553169896372947,0.010243313099306938,0.0052033469124891825,0.38334194607181143,0.22376069458773776,0.3928973593404509,1.5478098855790583,4.640795307490888,11.212162458077039,9.815691399935433,5.8686408899084865,189,113,8.0,8.0
crop1028,Kidney,Chemical,PCT brush border,4.0,104,62,10407370.735976744,0.0068745963425953655,0.004443195784497747,0.009560258538243643,0.006790562954084996,0.00146320739065768,0.012397580035595381,0.005039979448435623,0.005117062753745896,0.8799646264364835,0.033020799769119535,0.08701457379439644,1.641190181461921,6.115077405858214,20.685137088962307,26.2314091546945,0.6726002347357564,273,7,4.0,4.0
crop1028,Kidney,Chemical,PCT brush border,8.0,104,71,13719231.227635195,0.00803218772005874,0.005095844884030849,0.011565664901106483,0.007969629876602975,0.002092647471248458,0.015651787393172238,0.006220086776941696,0.006469820017075634,0.9031809838912355,0.02558532887135584,0.07123368723740851,1.979752905942552,6.995015334206338,22.382985538575333,21.138210675816982,0.4373422898444893,290,6,4.0,8.0
crop1029,Kidney,Chemical,PCT brush border,4.0,97,62,10120880.045056138,0.006518143180002541,0.004177132795803878,0.009248842251827849,0.006492368691206534,0.0018450147789195962,0.01220132206443013,0.004556809155220095,0.005071709456023971,0.8929059799339149,0.01860488108461662,0.0884891389814686,1.4979031318140092,5.634465153433729,19.37503110562094,25.195437438719843,0.09880563701458762,255,1,4.0,4.0
crop1029,Kidney,Chemical,PCT brush border,8.0,96,72,13576546.57508158,0.0076485988186233,0.004818556841089711,0.011152428690357348,0.0076327601078986645,0.0023219720562589925,0.01532848342373959,0.005887244153015166,0.006333871849267638,0.9131053637208535,0.014730183300530865,0.0721644529786156,1.832508874078226,6.509981650890163,21.07414752025567,19.666267745146055,0.07365643350241968,267,1,4.0,8.0
crop1044,Liver,Chemical,Hepatocyte lateral,4.0,41,4,10527022.155487645,0.005019581974109477,0.0023605992243875148,0.008620981146980499,0.0020998940018377836,-0.00792819677883426,0.010596868308462454,0.012597957033859679,0.0062603819225929835,0.5057648622111858,0.2808259884308289,0.21340914935798527,1.3694731244936342,4.5400661505020885,13.731652220930012,14.629018323070703,6.934534659637412,154,73,4.0,4.0
crop1039,Liver,Chemical,Bile canaliculus,4.0,19,5,14532314.773801342,0.004828340679747288,0.0019381232236296566,0.009470171260547994,0.0009379333446189647,-0.015022020010705366,0.009818914735382933,0.015610769315718684,0.007532048036918338,0.43254249027366104,0.3107984714806756,0.2566590382456637,1.7955290357357412,5.199443173380911,13.365685986122516,13.762432421334367,8.876768911760667,200,129,4.0,4.0
crop1044,Liver,Chemical,Hepatocyte lateral,8.0,41,7,12247391.987846812,0.005901837386555727,0.0027508324097054388,0.010248414954149897,0.003405503792481662,-0.0072084669852788665,0.013515237375626325,0.011969713707170204,0.007497582544444458,0.5712259548173308,0.2452942255907422,0.183479819591927,1.5754009206793607,5.230427680505302,15.415897413034315,13.390605948004158,6.2054027563921705,164,76,4.0,8.0
crop1039,Liver,Chemical,Bile canaliculus,8.0,19,10,16725922.524616338,0.005864518601840796,0.002374579387954074,0.011352705390499878,0.0021462381599795504,-0.012838575340677135,0.013193109552965026,0.015648486890790635,0.008978126002545803,0.5077850021337201,0.2773921793486546,0.21482281851762525,1.999232680203552,5.7393048726549925,15.03909474558722,12.316211539113612,7.353854462674632,206,123,4.0,8.0
crop1031,Kidney,Chemical,PCT lateral,4.0,2,2,17320762.310187124,0.0013656885829490205,0.000600449360982091,0.002626282004116771,5.552452703304273e-05,-0.0029293286720995892,0.0031807932018265276,0.004017876890570399,0.00202583264313468,0.18421505640242858,0.16697577902357125,0.648809164574,0.5766955527271823,1.8521081007805904,5.396653199687817,7.159038255901127,2.9444431536367537,124,51,4.0,4.0
