metric,column,label,tissue,prep,n,mean,median
topology,roughness_rms_nm_p60,rough 60nm,Kidney,Chemical,7,3.9433441803970566,3.850600032617791
topology,roughness_rms_nm_p60,rough 60nm,Kidney,Rapid HPF,6,4.293945117884693,4.543738578033377
topology,roughness_rms_nm_p60,rough 60nm,Liver,Chemical,12,4.126692686863289,4.327267841908402
topology,roughness_rms_nm_p60,rough 60nm,Liver,Rapid HPF,10,3.742617047256722,3.6164939511964134
topology,roughness_rms_nm_p120,rough 120nm,Cortex,Chemical,7,5.918955413674702,5.842101566981717
topology,roughness_rms_nm_p120,rough 120nm,Cortex,Rapid HPF,2,12.38555046124586,12.38555046124586
topology,roughness_rms_nm_p120,rough 120nm,Heart,Chemical,4,10.619351689353744,11.009496838039102
topology,roughness_rms_nm_p120,rough 120nm,Heart,Rapid HPF,4,12.896591123413941,13.039147993835861
topology,roughness_rms_nm_p120,rough 120nm,Kidney,Chemical,7,12.630331704560218,11.83183206985709
topology,roughness_rms_nm_p120,rough 120nm,Kidney,Rapid HPF,6,12.423321496818106,13.132809070994622
topology,roughness_rms_nm_p120,rough 120nm,Liver,Chemical,12,12.061094394967018,12.993632292206843
topology,roughness_rms_nm_p120,rough 120nm,Liver,Rapid HPF,10,10.47396654996877,10.471146109241793
topology,protrusion_density_per_um2,prot/um2,Cortex,Chemical,7,33.14662893753854,34.4965890947904
topology,protrusion_density_per_um2,prot/um2,Cortex,Rapid HPF,2,13.99534544040079,13.99534544040079
topology,protrusion_density_per_um2,prot/um2,Heart,Chemical,4,10.708474091895422,10.254851270047741
topology,protrusion_density_per_um2,prot/um2,Heart,Rapid HPF,4,12.514356361334572,12.592683978238789
topology,protrusion_density_per_um2,prot/um2,Kidney,Chemical,7,16.731464008827786,14.687436844472966
topology,protrusion_density_per_um2,prot/um2,Kidney,Rapid HPF,6,11.626229384807074,11.224561690810447
topology,protrusion_density_per_um2,prot/um2,Liver,Chemical,12,13.467696880830834,13.885074433686448
topology,protrusion_density_per_um2,prot/um2,Liver,Rapid HPF,10,10.911437404381472,10.617361695478262
topology,indentation_density_per_um2,ind/um2,Cortex,Chemical,7,1.1583978308675127,0.809779086732169
topology,indentation_density_per_um2,ind/um2,Cortex,Rapid HPF,2,2.2539625822440126,2.2539625822440126
topology,indentation_density_per_um2,ind/um2,Heart,Chemical,4,6.4746189895256,5.804956330871887
topology,indentation_density_per_um2,ind/um2,Heart,Rapid HPF,4,4.8587198567430665,5.007645076360237
topology,indentation_density_per_um2,ind/um2,Kidney,Chemical,7,3.341630298005334,3.3006962034284113
topology,indentation_density_per_um2,ind/um2,Kidney,Rapid HPF,6,4.8364816625575795,4.8245176029747885
topology,indentation_density_per_um2,ind/um2,Liver,Chemical,12,5.589767880009894,5.672991448998649
topology,indentation_density_per_um2,ind/um2,Liver,Rapid HPF,10,3.7909675210295632,4.185490530569199
