crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1046,Cortex,Chemical,,8.0,85371,24.0,36.48468031852801,12.563153589251536,24.0,27.31370849898476,33.17011495953578,43.77708763999664,54.62741699796952,0.0,0.6958451933326305,0.9954434175539704,1.0,1.0,2.0,8.0
crop1045,Cortex,Chemical,,8.0,70312,24.0,31.909938074192812,9.263451530980806,24.0,24.0,27.31370849898476,37.20225231898308,43.77708763999664,0.0,0.8193764933439527,0.9986204346342018,1.0,1.0,2.0,8.0
crop1037,Cortex,Chemical,,8.0,93391,24.0,168.82470766839148,202.76387394424313,24.0,35.712812921102035,63.23148037553857,275.23873928318454,474.31952396874226,0.0,0.28119411934768873,0.6446659742373462,0.6807401141437611,0.7834480838624707,2.0,8.0
crop1127,Liver,Rapid HPF,Hepatocyte lateral,8.0,157903,24.0,44.89788719450547,23.10252996456406,27.31370849898476,32.0,40.0,45.48446176226374,66.77766929790344,0.0,0.4128357282635542,0.9261825297809415,0.9964155209210718,1.0,8.0,8.0
crop1026,Kidney,Chemical,Glomerular,8.0,510898,24.0,122.88929310786338,75.43224149546468,43.59591794226542,63.377408526555115,103.27181319605603,171.10066734650545,232.84668124753557,0.0,0.08615222608035264,0.3702422009872812,0.7186502981025567,0.9873340666825864,4.0,8.0
crop1027,Kidney,Chemical,Glomerular,8.0,523064,24.0,130.56631513163848,84.82324344075597,39.74495028054933,65.64607201529357,120.45338528679123,167.19595949289334,235.6546583584077,0.0,0.10173324870379151,0.3327107199119037,0.7105249070859397,0.9566362816022513,4.0,8.0
crop1136,Kidney,Rapid HPF,DCT base,8.0,654899,24.0,46.74332836588824,21.617444701941135,24.0,32.0,41.452324402816444,54.62741699796952,74.92597050189556,0.0,0.45388372863601867,0.9169413909625759,0.9996686511965968,1.0,8.0,8.0
crop1124,Liver,Rapid HPF,Hepatocyte lateral,8.0,241449,24.0,34.18936207640515,11.49109650861173,27.31370849898476,27.31370849898476,30.627416997969522,35.31370849898476,49.88854381999832,0.0,0.8325112135482027,0.9903457873091212,1.0,1.0,8.0,8.0
crop1074,Liver,Rapid HPF,Bile canaliculus,8.0,335658,24.0,110.92066454830513,93.78283439931784,24.0,37.856406460551014,77.645450564588,153.6715641555898,257.6137197838638,0.0,0.2673584422239303,0.509387531356321,0.7620256332338273,0.9567208289389796,8.0,8.0
crop1073,Liver,Rapid HPF,Bile canaliculus,8.0,455007,24.0,116.82175346834607,125.77265439309515,27.31370849898476,33.17011495953578,57.29822128134704,140.85009194892865,343.236359682935,0.0,0.34038597208394594,0.6373088765667342,0.7685925711033017,0.8819578599889673,8.0,8.0
