crop,tissue,prep,region_group,voxel_nm,n_ecs_voxels,n_narrow_voxels,narrow_fraction,full_percentiles_nm_p10,full_percentiles_nm_p25,full_percentiles_nm_p50,full_percentiles_nm_p75,full_percentiles_nm_p90,narrow_percentiles_nm_p10,narrow_percentiles_nm_p25,narrow_percentiles_nm_p50,narrow_percentiles_nm_p75,narrow_percentiles_nm_p90,narrow_mean_nm,narrow_std_nm,native_voxel_nm,analysis_voxel_nm
crop1038,Liver,Chemical,Space of Disse,8.0,4386883,3881666,0.8848346308757266,11.313708498984761,22.627416997969522,50.59644256269407,108.81176406988355,219.5267637441959,11.313708498984761,19.595917942265423,41.569219381653056,82.365041127896,128.74781551544865,56.745545267819026,46.426682720004166,4.0,8.0
crop1043,Liver,Chemical,Space of Disse,8.0,2118486,2117491,0.9995303249584845,8.0,11.313708498984761,24.0,43.08131845707603,66.4529909033446,8.0,11.313708498984761,24.0,43.08131845707603,66.4529909033446,31.33110736614413,25.07562502035559,4.0,8.0
crop1046,Cortex,Chemical,,4.0,1660111,1659722,0.9997656783191003,4.0,5.656854249492381,8.94427190999916,14.966629547095765,25.92296279363144,4.0,5.656854249492381,8.94427190999916,14.966629547095765,25.92296279363144,15.492444544604412,22.642340511722313,2.0,4.0
crop1032,Kidney,Chemical,PCT base,8.0,2422907,2422248,0.9997280126723808,8.0,16.0,43.08131845707603,77.56287771866127,108.51727973000429,8.0,16.0,43.08131845707603,77.56287771866127,108.51727973000429,50.888065943572315,38.562925888667166,4.0,8.0
crop1036,Cortex,Chemical,,8.0,106735,106735,1.0,8.0,8.0,8.0,11.313708498984761,17.88854381999832,8.0,8.0,8.0,11.313708498984761,17.88854381999832,10.831062903078973,4.127857518865358,2.0,8.0
crop1046,Cortex,Chemical,,8.0,208152,208076,0.9996348822014681,8.0,8.0,11.313708498984761,17.88854381999832,28.844410203711913,8.0,8.0,11.313708498984761,17.88854381999832,28.844410203711913,17.932689159559573,22.522388155360836,2.0,8.0
crop1030,Kidney,Chemical,DCT base,8.0,1945458,1945458,1.0,8.0,11.313708498984761,24.0,45.254833995939045,58.787753826796276,8.0,11.313708498984761,24.0,45.254833995939045,58.787753826796276,29.543707490486867,20.352757351426742,4.0,8.0
crop1034,Cortex,Chemical,,4.0,694482,694482,1.0,4.0,4.0,5.656854249492381,8.94427190999916,12.649110640673518,4.0,4.0,5.656854249492381,8.94427190999916,12.649110640673518,6.913593668917141,4.221917645283278,2.0,4.0
crop1035,Cortex,Chemical,,4.0,666808,666808,1.0,4.0,4.0,5.656854249492381,8.0,12.649110640673518,4.0,4.0,5.656854249492381,8.0,12.649110640673518,6.861558082465304,4.630440802466875,2.0,4.0
crop1045,Cortex,Chemical,,4.0,1738825,1737639,0.9993179302114934,4.0,4.0,9.797958971132712,38.781438859330635,104.6900186264192,4.0,4.0,9.797958971132712,38.781438859330635,104.30723848324239,31.56782969452272,43.5121404250876,2.0,4.0
crop1035,Cortex,Chemical,,8.0,83715,83715,1.0,8.0,8.0,8.0,8.0,16.0,8.0,8.0,8.0,8.0,16.0,9.70178892291908,3.9962444955452927,2.0,8.0
crop1033,Cortex,Chemical,,4.0,748291,748291,1.0,4.0,4.0,4.0,6.928203230275509,9.797958971132712,4.0,4.0,4.0,6.928203230275509,9.797958971132712,5.85849706072824,3.066244868210757,2.0,4.0
crop1034,Cortex,Chemical,,8.0,86720,86720,1.0,8.0,8.0,8.0,11.313708498984761,13.856406460551018,8.0,8.0,8.0,11.313708498984761,13.856406460551018,9.775645095314124,3.5596979250105476,2.0,8.0
crop1027,Kidney,Chemical,Glomerular,8.0,6006917,5894642,0.9813090475530126,11.313708498984761,19.595917942265423,40.792156108742276,72.0,118.92854997854805,11.313708498984761,19.595917942265423,40.0,70.19971509913698,110.85125168440814,51.304296810819395,40.758325414655474,4.0,8.0
crop1026,Kidney,Chemical,Glomerular,8.0,4805789,4803199,0.999461066642751,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,8.0,17.88854381999832,33.94112549695428,60.398675482166,89.7997772825746,42.83779812331382,32.28108746073673,4.0,8.0
crop1045,Cortex,Chemical,,8.0,218069,217792,0.998729759846654,8.0,8.0,11.313708498984761,40.792156108742276,107.03270528207722,8.0,8.0,11.313708498984761,40.792156108742276,106.73331251301067,34.05599919920374,43.22700737795931,2.0,8.0
crop1037,Cortex,Chemical,,4.0,8100824,6429606,0.7936977769175086,8.94427190999916,25.298221281347036,92.43376006633075,176.58992043715293,280.0,8.0,19.595917942265423,62.99206299209449,120.13325934144966,161.24515496597098,73.4098626439215,58.001180788289794,2.0,4.0
crop1033,Cortex,Chemical,,8.0,93324,93324,1.0,8.0,8.0,8.0,8.0,11.313708498984761,8.0,8.0,8.0,8.0,11.313708498984761,8.97592005531636,2.401262982185819,2.0,8.0
crop1037,Cortex,Chemical,,8.0,1012100,800784,0.7912103547080328,11.313708498984761,26.5329983228432,93.637599285757,177.2681584492827,280.7988603965479,8.0,19.595917942265423,64.4980619863884,120.53215338655491,160.99689437998487,74.43503845243805,57.21047901392558,2.0,8.0
crop1118,Liver,Chemical,Hepatocyte lateral,16.0,29437,29427,0.9996602914699189,16.0,16.0,16.0,48.0,80.0,16.0,16.0,16.0,48.0,80.0,35.757356983187485,30.163820170210347,8.0,16.0
crop1119,Liver,Chemical,Hepatocyte lateral,16.0,43574,43573,0.9999770505347225,16.0,16.0,22.627416997969522,39.191835884530846,71.55417527999327,16.0,16.0,22.627416997969522,39.191835884530846,71.55417527999327,34.65400661181904,28.86478142341422,8.0,16.0
