crop,tissue,prep,region_group,anatomy,native_voxel_nm,analysis_voxel_nm,run,metric_family,metric,value
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,total_voxels,24500000.0
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_voxels,2348394.0
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_primary_voxels,2348394.0
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,cell_voxels,22151606.0
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_fraction,0.09585281632653062
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,cell_fraction,0.9041471836734694
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_volume_um3,1.202377728
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,cell_volume_um3,11.341622272
crop1141,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,total_volume_um3,12.544
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,total_voxels,24000000.0
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_voxels,14332063.0
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_primary_voxels,14332063.0
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,cell_voxels,9667937.0
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_fraction,0.5971692916666667
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,cell_fraction,0.40283070833333334
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_volume_um3,0.917252032
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,cell_volume_um3,0.618747968
crop1028,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,total_volume_um3,1.536
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,total_voxels,36000000.0
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_voxels,26840290.0
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_primary_voxels,26840290.0
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,cell_voxels,9159710.0
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_fraction,0.7455636111111111
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,cell_fraction,0.25443638888888886
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,ecs_volume_um3,1.71777856
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,cell_volume_um3,0.58622144
crop1029,Kidney,Chemical,PCT brush border,PCT brush border,4.0,4.0,native,volume_fraction,total_volume_um3,2.304
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,total_voxels,64000000.0
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_voxels,12784323.0
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_primary_voxels,12784323.0
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_bm_voxels,0.0
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,cell_voxels,51215677.0
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_fraction,0.199755046875
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,cell_fraction,0.800244953125
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,ecs_volume_um3,6.545573376
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,cell_volume_um3,26.222426624
crop1116,Cortex,Rapid HPF,,,8.0,8.0,native,volume_fraction,total_volume_um3,32.768
crop1071,Liver,Rapid HPF,Hepatocyte lateral,Hepatocyte lateral,8.0,8.0,native,volume_fraction,total_voxels,27000000.0
