crop,tissue,prep,region_group,anatomy,voxel_nm,patch_faces,ecs_frac,gap_bounded_frac,n_curvature_kept,n_deviation_kept,n_gap_kept,curvature_p10_nm-1,curvature_p50_nm-1,curvature_p90_nm-1,abs_curvature_p50_nm-1,abs_curvature_p90_nm-1,frac_convex,frac_concave,deviation_p10_nm,deviation_p50_nm,deviation_p90_nm,abs_deviation_p50_nm,abs_deviation_p90_nm,frac_protrusion,frac_indent,gap_p10_nm,gap_p50_nm,gap_p90_nm
crop1134,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,16.0,129094,0.6465,0.475,62753,62753,34399,-0.0034112867433577776,0.0043322001583874226,0.02008766680955887,0.005475573241710663,0.020388614386320114,0.764744315012828,0.23525568498717192,-1.87198805809021,3.121203660964966,10.312567710876465,3.6771085262298584,10.347539901733398,0.7884085223017226,0.21159147769827738,167.80941772460938,231.30931091308594,357.05462646484375
crop1135,Kidney,Rapid HPF,Glomerular,Glomerular interstitium,16.0,98984,0.3478,0.152,47604,47604,42622,-0.007649739272892475,0.0015387816820293665,0.010006110183894634,0.003907482605427504,0.01424271147698164,0.6204310562137636,0.37956894378623646,-4.617150783538818,1.025309681892395,6.038812637329102,2.6012439727783203,7.605020999908447,0.6153264431560374,0.3846735568439627,22.627416610717773,57.688819885253906,176.72576904296875
crop1136,Kidney,Rapid HPF,DCT base,DCT base,16.0,192564,0.0894,0.071,93569,93569,90672,-0.010517626069486141,-0.0003815752570517361,0.006146647501736879,0.0028682565316557884,0.013720888644456863,0.4559416045912642,0.5438873986042386,-5.660943508148193,-0.38326770067214966,3.4312713146209717,1.7746895551681519,6.886169910430908,0.4366082783827977,0.5633917216172023,22.627416610717773,39.191837310791016,145.76693725585938
crop1137,Kidney,Rapid HPF,DCT base,DCT base,16.0,105613,0.1469,0.032,50643,50643,52102,-0.0052360608242452145,-0.0004797067085746676,0.003885936690494418,0.0021660318598151207,0.006572313141077757,0.43852062476551545,0.5614793752344845,-2.8188886642456055,-0.2949492335319519,2.0522310733795166,1.1934618949890137,3.4194419384002686,0.4309776277076792,0.5690223722923208,16.0,27.712812423706055,71.5541763305664
crop1138,Kidney,Rapid HPF,PCT lateral,PCT lateral,16.0,306404,0.0898,0.413,147923,147923,91161,-0.015305759385228157,-0.0009912223322317004,0.011416162364184856,0.0062606194987893105,0.019185945391654968,0.45303299689703425,0.5469399620072606,-8.07262897491455,-0.6403427124023438,6.372264862060547,3.9215087890625,9.005839347839355,0.45312764073200246,0.5468723592679975,35.7770881652832,96.0,345.762939453125
crop1144,Kidney,Rapid HPF,DCT base,DCT base,16.0,622320,0.109,0.269,300971,300971,230315,-0.005399253685027361,-0.0002599435392767191,0.006356668192893267,0.0025322125293314457,0.009023004211485386,0.46861990025617084,0.5313169707380445,-2.6463699340820312,-0.12237708270549774,3.7897777557373047,1.4095158576965332,4.733790397644043,0.4757933488608537,0.5242066511391463,35.7770881652832,45.25483322143555,244.22940063476562
crop1038,Liver,Chemical,Space of Disse,Space of Disse,16.0,180024,0.5485,0.346,87145,87145,59760,-0.005854124668985605,0.00216022040694952,0.011301753111183643,0.004322158172726631,0.013634287752211094,0.6482643869413047,0.3517356130586953,-3.53314471244812,1.7001534700393677,7.214554786682129,3.073488473892212,7.953955173492432,0.6620001147512766,0.3379998852487234,35.7770881652832,112.0,262.9068298339844
crop1039,Liver,Chemical,Bile canaliculus,Bile canaliculus,16.0,62970,0.1914,0.025,30557,30557,31123,-0.012472725473344326,0.0012251875596120954,0.012244421057403088,0.005256932694464922,0.017883731052279472,0.5797689563766076,0.42023104362339236,-6.449981689453125,0.649813711643219,7.24379825592041,3.282005548477173,9.217720031738281,0.5652714598946231,0.4347285401053768,16.0,32.0,136.7040557861328
crop1040,Liver,Chemical,Bile canaliculus,Bile canaliculus,16.0,96097,0.223,0.11,46984,46984,43156,-0.01810515858232975,0.002594025805592537,0.013440805487334728,0.007499606814235449,0.021701902151107788,0.5955644474714796,0.40443555252852037,-7.7337727546691895,0.9110625982284546,7.15814733505249,4.4125189781188965,9.379595756530762,0.554146092286736,0.4458539077132641,16.0,53.06599807739258,265.81195068359375
crop1041,Liver,Chemical,Space of Disse,Space of Disse,16.0,108057,0.2688,0.179,52419,52419,44842,-0.009210796095430851,0.002955356612801552,0.014825021848082542,0.00632609985768795,0.018453001976013184,0.6343501402163337,0.3656498597836662,-4.662623882293701,1.9397549629211426,8.445337295532227,3.924154758453369,9.077068328857422,0.6275014784715466,0.3724985215284534,48.0,120.79734802246094,237.8571014404297
