metric,column,label,group_type,group_value,n_chem,n_hpf,chem_median,chem_ci_lo,chem_ci_hi,hpf_median,hpf_ci_lo,hpf_ci_hi,diff_median,diff_ci_lo,diff_ci_hi,mw_u,mw_p,cliff_delta,direction
voronoi_gap,percentiles_nm_p25,gap p25 nm,tissue,Cortex,7,3,10.47213595499958,6.0,12.12899020449196,27.31370849898476,24.0,37.856406460551014,-16.84157254398518,-31.856406460551014,-11.87100979550804,1.0,0.03783702347595934,-0.9047619047619048,HPF>Chem
voronoi_gap,percentiles_nm_p25,gap p25 nm,tissue,Kidney,7,4,27.31370849898476,13.65685424949238,56.74181688223247,36.72616220140822,27.31370849898476,94.16263691415206,-9.412453702423463,-66.84892841516731,24.74181688223247,7.5,0.25575603730406704,-0.4642857142857143,HPF>Chem
voronoi_gap,percentiles_nm_p25,gap p25 nm,tissue,Liver,7,10,38.380966322468964,17.65685424949238,50.642569718550575,29.65685424949238,27.31370849898476,35.31370849898476,8.724112072976585,-14.92820323027551,23.328861219565816,45.0,0.35090330170230777,0.2857142857142857,Chem>HPF
voronoi_gap,percentiles_nm_p25,gap p25 nm,region_group,Bile canaliculus,3,4,17.65685424949238,16.58505747976789,38.380966322468964,34.241911729260266,24.0,37.856406460551014,-16.585057479767887,-20.199552211058634,9.795908842701074,4.0,0.6285714285714286,-0.3333333333333333,HPF>Chem
voronoi_gap,percentiles_nm_p25,gap p25 nm,region_group,DCT base,2,3,14.292528739883945,13.65685424949238,14.928203230275509,32.0,27.31370849898476,41.452324402816444,-17.707471260116055,-27.795470153324064,-12.38550526870925,0.0,0.2,-1.0,HPF>Chem
voronoi_gap,percentiles_nm_p50,gap p50 nm,tissue,Cortex,7,3,12.555833735058737,9.936237570137333,22.968368641454575,30.627416997969522,27.31370849898476,99.74341869946178,-18.071583262910785,-89.80718112932445,-4.345339857530185,2.0,0.06666666666666667,-0.8095238095238095,HPF>Chem
voronoi_gap,percentiles_nm_p50,gap p50 nm,tissue,Kidney,7,4,45.93673728290915,19.872475140274666,96.8998886412873,43.46839308254009,30.627416997969522,159.36651290049394,2.46834420036906,-113.4297756175848,60.86001794089432,12.0,0.7878787878787878,-0.14285714285714285,approx
voronoi_gap,percentiles_nm_p50,gap p50 nm,tissue,Liver,7,10,53.95587729322294,39.3008655283005,84.18758731592669,45.111667470117474,29.65685424949238,57.95607767382939,8.844209823105466,-10.92246941193445,52.18758731592669,52.0,0.10691579690213293,0.4857142857142857,Chem>HPF
voronoi_gap,percentiles_nm_p50,gap p50 nm,region_group,Bile canaliculus,3,4,39.3008655283005,35.85780087601865,52.6576560118759,53.760778110790994,50.22333494023495,77.645450564588,-14.459912582490496,-38.344585036287505,2.4343210716409516,2.0,0.21179837830572268,-0.6666666666666666,HPF>Chem
voronoi_gap,percentiles_nm_p50,gap p50 nm,region_group,DCT base,2,3,19.2368006498831,18.60112615949154,19.872475140274666,41.452324402816444,30.627416997969522,45.48446176226374,-22.215523752933343,-26.883335602772203,-10.754941857694856,0.0,0.2,-1.0,HPF>Chem
voronoi_gap,percentiles_nm_p75,gap p75 nm,tissue,Cortex,7,3,23.162634459682273,16.69441732447586,33.745014848410406,50.22333494023495,45.48446176226374,772.0603977277456,-27.060700480552676,-755.3659804032698,-11.739446913853335,2.0,0.06666666666666667,-0.8095238095238095,HPF>Chem
voronoi_gap,percentiles_nm_p75,gap p75 nm,tissue,Kidney,7,4,163.16129506733344,101.6436458225811,217.0908814272409,52.425375969102234,45.48446176226374,208.47942537826668,110.73591909823121,-45.31813031093324,169.23698307599156,20.0,0.3151515151515151,0.42857142857142855,Chem>HPF
voronoi_gap,percentiles_nm_p75,gap p75 nm,tissue,Liver,7,10,126.62768258672632,122.51864625347073,159.12520680414917,61.113153776078,35.31370849898476,120.99160428654687,65.51452881064833,13.832298817442236,118.34876871070915,59.0,0.02174621056485229,0.6857142857142857,Chem>HPF
