crop,tissue,prep,region_group,voxel_nm,n_boundary_faces,gap_min_nm,gap_mean_nm,gap_std_nm,percentiles_nm_p10,percentiles_nm_p25,percentiles_nm_p50,percentiles_nm_p75,percentiles_nm_p90,contact_fractions_p20,contact_fractions_p40,contact_fractions_p80,contact_fractions_p160,contact_fractions_p320,native_voxel_nm,analysis_voxel_nm
crop1036,Cortex,Chemical,,4.0,259024,12.0,25.56424094059087,10.763646053592927,12.0,16.58505747976789,23.595917942265423,31.688704263277558,40.970562748477136,0.3624567607634814,0.8917011551053184,1.0,1.0,1.0,2.0,4.0
crop1038,Liver,Chemical,Space of Disse,8.0,265908,24.0,135.44687622238408,140.31565722045468,35.31370849898476,54.62741699796952,88.7610552661839,163.12575543732254,279.2922762023021,0.0,0.1373821020804188,0.4469741414323751,0.7433473231343172,0.9273545737623539,4.0,8.0
crop1043,Liver,Chemical,Space of Disse,8.0,370067,24.0,77.57017759917787,53.72239128224946,24.0,37.20225231898308,61.0659966456864,101.28513943710115,154.18894796396563,0.0,0.2843647231447278,0.6367198372186658,0.90947314945672,0.9974815371270608,4.0,8.0
crop1046,Cortex,Chemical,,4.0,409043,12.0,27.75261970665169,14.127866345747623,12.0,15.313708498984761,25.111667470117474,35.45905204956641,48.51890981469013,0.36306451888921215,0.8131125578484414,0.9979146446706092,1.0,1.0,2.0,4.0
crop1032,Kidney,Chemical,PCT base,8.0,411088,24.0,94.21600338946547,92.58685161052325,24.0,24.0,35.31370849898476,154.20467975244782,248.94955372469158,0.0,0.5245567858949909,0.6123214494220216,0.7609660218736621,0.9841420815007978,4.0,8.0
crop1036,Cortex,Chemical,,8.0,56168,24.0,33.21027093784436,9.270162158702345,24.0,27.31370849898476,30.627416997969522,37.856406460551014,45.48446176226374,0.0,0.7973045150263495,1.0,1.0,1.0,2.0,8.0
crop1046,Cortex,Chemical,,8.0,85371,24.0,36.48468031852801,12.563153589251536,24.0,27.31370849898476,33.17011495953578,43.77708763999664,54.62741699796952,0.0,0.6958451933326305,0.9954434175539704,1.0,1.0,2.0,8.0
crop1030,Kidney,Chemical,DCT base,8.0,412937,24.0,70.5613546777867,52.51827897725121,24.0,24.0,33.17011495953578,121.13708498984761,147.43642627390182,0.0,0.526738945650305,0.5968779741219605,0.9509561991296493,1.0,4.0,8.0
crop1034,Cortex,Chemical,,4.0,276556,12.0,20.06399767064108,9.505944189156832,12.0,12.0,16.58505747976789,24.25798040898392,33.38883464895172,0.6326783725538409,0.9528377616106684,0.9998445161197009,1.0,1.0,2.0,4.0
crop1035,Cortex,Chemical,,4.0,287394,12.0,18.584863762789837,9.235062361737128,12.0,13.65685424949238,15.313708498984761,19.872475140274666,29.2664991614216,0.7574931974919449,0.9582315566782883,0.9993702025790379,1.0,1.0,2.0,4.0
crop1045,Cortex,Chemical,,4.0,357843,12.0,22.930344051009406,10.80290780326411,12.0,13.65685424949238,19.872475140274666,29.735913600840718,37.92801827663334,0.5148319234971761,0.9291337262430731,0.9996283286245644,1.0,1.0,2.0,4.0
crop1035,Cortex,Chemical,,8.0,49963,24.0,28.30964389124158,8.736386549742546,24.0,24.0,24.0,27.31370849898476,39.74495028054933,0.0,0.910313632087745,0.9981786522026299,1.0,1.0,2.0,8.0
crop1033,Cortex,Chemical,,4.0,335234,12.0,17.419228937635392,7.096077617504058,12.0,12.0,13.65685424949238,20.94427190999916,27.31370849898476,0.7307969955314795,0.9859590614317163,1.0,1.0,1.0,2.0,4.0
crop1034,Cortex,Chemical,,8.0,48884,24.0,29.85414450771246,8.28751178479415,24.0,24.0,27.31370849898476,33.17011495953578,41.88854381999832,0.0,0.8873660093282055,0.9993863022665903,1.0,1.0,2.0,8.0
crop1027,Kidney,Chemical,Glomerular,8.0,523064,24.0,130.56631513163848,84.82324344075597,39.74495028054933,65.64607201529357,120.45338528679123,167.19595949289334,235.6546583584077,0.0,0.10173324870379151,0.3327107199119037,0.7105249070859397,0.9566362816022513,4.0,8.0
crop1026,Kidney,Chemical,Glomerular,8.0,510898,24.0,122.88929310786338,75.43224149546468,43.59591794226542,63.377408526555115,103.27181319605603,171.10066734650545,232.84668124753557,0.0,0.08615222608035264,0.3702422009872812,0.7186502981025567,0.9873340666825864,4.0,8.0
crop1045,Cortex,Chemical,,8.0,70312,24.0,31.909938074192812,9.263451530980806,24.0,24.0,27.31370849898476,37.20225231898308,43.77708763999664,0.0,0.8193764933439527,0.9986204346342018,1.0,1.0,2.0,8.0
crop1037,Cortex,Chemical,,4.0,385599,12.0,160.13654447807238,202.2176462597045,16.58505747976789,28.58020766040636,59.0987120370146,261.3918521652541,465.4308511009162,0.150192298216541,0.33106672994483904,0.6635753723427706,0.6911973319432883,0.7923594200192428,2.0,4.0
crop1033,Cortex,Chemical,,8.0,50081,24.0,27.899490214343295,5.9160822948161815,24.0,24.0,24.0,30.627416997969522,35.712812921102035,0.0,0.9468860446077355,1.0,1.0,1.0,2.0,8.0
crop1037,Cortex,Chemical,,8.0,93391,24.0,168.82470766839148,202.76387394424313,24.0,35.712812921102035,63.23148037553857,275.23873928318454,474.31952396874226,0.0,0.28119411934768873,0.6446659742373462,0.6807401141437611,0.7834480838624707,2.0,8.0
crop1118,Liver,Chemical,Hepatocyte lateral,16.0,10524,48.0,56.80144669241874,30.88637010756887,48.0,48.0,48.0,48.0,66.34022991907156,0.0,0.0,0.9094450779171418,0.9790003800836184,0.9982896237172177,8.0,16.0
crop1119,Liver,Chemical,Hepatocyte lateral,16.0,10373,48.0,67.44108534294871,29.29438183051114,48.0,48.0,54.62741699796952,79.48990056109866,111.85127655863312,0.0,0.0,0.7650631447025933,0.9869854429769594,1.0,8.0,16.0
crop1120,Liver,Chemical,Hepatocyte lateral,16.0,19879,48.0,61.937333342753675,22.907021370596333,48.0,48.0,54.62741699796952,66.34022991907156,87.55417527999327,0.0,0.0,0.8572865838321847,0.9894863926756879,1.0,8.0,16.0
crop1121,Liver,Chemical,Hepatocyte lateral,16.0,14313,48.0,49.80515752259016,9.844078902048313,48.0,48.0,48.0,48.0,48.0,0.0,0.0,0.9787605673164256,0.9987424020121568,1.0,8.0,16.0
crop1122,Liver,Chemical,Hepatocyte lateral,16.0,16251,48.0,80.34686960807262,42.70384298313506,48.0,48.0,61.254833995939045,99.77708763999664,147.93938001976514,0.0,0.0,0.6494369577256784,0.9231431911882346,1.0,8.0,16.0
