tissue,dataset,crop,prep,cell_id,voxels_8nm,volume_nm3,volume_um3,ecs_faces,total_faces,ecs_sa_nm2,total_sa_nm2,sa_v_ratio,sphericity
Liver,jrc_mus-liver,crop1042,Chemical,15,809,414208.0,0.0004,668,668,42752.0,42752.0,0.10321384,0.6286
Liver,jrc_mus-liver,crop1042,Chemical,16,10893,5577216.0,0.0056,4458,4458,285312.0,285312.0,0.05115671,0.5331
Liver,jrc_mus-liver,crop1042,Chemical,17,5155,2639360.0,0.0026,2586,2586,165504.0,165504.0,0.06270611,0.5581
Liver,jrc_mus-liver,crop1042,Chemical,18,3295,1687040.0,0.0017,1475,1758,94400.0,112512.0,0.05595599,0.726
Liver,jrc_mus-liver,crop1042,Chemical,19,28875,14784000.0,0.0148,11980,11980,766720.0,766720.0,0.05186147,0.3799
Liver,jrc_mus-liver,crop1042,Chemical,20,736,376832.0,0.0004,620,620,39680.0,39680.0,0.10529891,0.6358
Liver,jrc_mus-liver,crop1042,Chemical,21,5611,2872832.0,0.0029,2527,2756,161728.0,176384.0,0.05629567,0.6043
Liver,jrc_mus-liver,crop1042,Chemical,22,941,481792.0,0.0005,551,744,35264.0,47616.0,0.07319341,0.8428
Liver,jrc_mus-liver,crop1042,Chemical,23,5000,2560000.0,0.0026,2520,2636,161280.0,168704.0,0.063,0.5611
Liver,jrc_mus-liver,crop1042,Chemical,24,3692,1890304.0,0.0019,1924,2074,123136.0,132736.0,0.06514085,0.6004
Liver,jrc_mus-liver,crop1043,Chemical,1,2428191,1243233792.0,1.2432,178887,250140,11448768.0,16008960.0,0.00920886,0.4884
Liver,jrc_mus-liver,crop1043,Chemical,2,487445,249571840.0,0.2496,100635,116082,6440640.0,7429248.0,0.02580676,0.2976
Liver,jrc_mus-liver,crop1043,Chemical,3,2133,1092096.0,0.0011,1090,1548,69760.0,99072.0,0.06387717,0.7352
Liver,jrc_mus-liver,crop1043,Chemical,4,1826,934912.0,0.0009,890,1202,56960.0,76928.0,0.06092552,0.8118
Liver,jrc_mus-liver,crop1043,Chemical,5,2285989,1170426368.0,1.1704,270613,341852,17319232.0,21878528.0,0.01479737,0.3101
Liver,jrc_mus-liver,crop1043,Chemical,6,1660,849920.0,0.0008,896,1264,57344.0,80896.0,0.06746988,0.7567
Liver,jrc_mus-liver,crop1043,Chemical,7,158,80896.0,0.0001,226,226,14464.0,14464.0,0.17879747,0.6254
Liver,jrc_mus-liver,crop1043,Chemical,8,310,158720.0,0.0002,338,338,21632.0,21632.0,0.13629032,0.6554
Liver,jrc_mus-liver,crop1043,Chemical,9,114,58368.0,0.0001,174,174,11136.0,11136.0,0.19078947,0.6534
Liver,jrc_mus-liver,crop1043,Chemical,10,544,278528.0,0.0003,596,596,38144.0,38144.0,0.13694853,0.5407
Liver,jrc_mus-liver,crop1043,Chemical,11,137,70144.0,0.0001,208,208,13312.0,13312.0,0.18978102,0.6179
Liver,jrc_mus-liver,crop1043,Chemical,12,320092,163887104.0,0.1639,52778,66670,3377792.0,4266880.0,0.02061048,0.4288
Liver,jrc_mus-liver,crop1043,Chemical,13,608,311296.0,0.0003,439,620,28096.0,39680.0,0.09025493,0.7906
Liver,jrc_mus-liver,crop1043,Chemical,14,134,68608.0,0.0001,161,216,10304.0,13824.0,0.15018657,0.7866
Liver,jrc_mus-liver,crop1043,Chemical,15,592,303104.0,0.0003,534,534,34176.0,34176.0,0.11275338,0.6385
Liver,jrc_mus-liver,crop1043,Chemical,16,590,302080.0,0.0003,524,524,33536.0,33536.0,0.11101695,0.6492
