tissue,dataset,crop,prep,threshold_nm,contact_voxels,total_boundary_voxels,contact_fraction
Cortex,jrc_mus-cortex-3,crop1046,Chemical,80,1568308,1568308,1.0
Cortex,jrc_mus-cortex-3,crop1046,Chemical,160,1568308,1568308,1.0
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,10,0,767733,0.0
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,20,767733,767733,1.0
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,40,767733,767733,1.0
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,80,767733,767733,1.0
Cortex,jrc_mus-cortex-4,crop1139,Rapid HPF,160,767733,767733,1.0
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,10,0,1011554,0.0
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,20,1011554,1011554,1.0
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,40,1011554,1011554,1.0
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,80,1011554,1011554,1.0
Cortex,jrc_mus-cortex-4,crop1141,Rapid HPF,160,1011554,1011554,1.0
